Use,Name,Method,Deprecated Means Don’t Use,Description
yes,BainHasmashosRT13Point5MinutesBefore7Point083Degrees,getBainHasmashosRT13Point5MinutesBefore7Point083Degrees(),,"This method returns the beginning of <em>bain hashmashos</em> based on the calculation of 13.5 minutes (3/4 of an 18 minute <em>Mil</em>) before <em>shkiah</em> calculated as {@link #getTzaisGeonim7Point083Degrees() 7.083&deg;}.@return the <code>Date</code> of the <em>bain hashmashos</em> of Rabbeinu Tam in this calculation. If the         calculation can't be computed such as northern and southern locations even south of the Arctic Circle and         north of the Antarctic Circle where the sun may not reach low enough below the horizon for this         calculation, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation.@see #getTzaisGeonim7Point083Degrees() -- This method returns the beginning of  -- <em> -- bain hashmashos -- </em> --  based on the calculation of 13.5 minutes (3/4 of an 18 minute  -- <em> -- Mil -- </em> -- ) before  -- <em> -- shkiah -- </em> --  calculated as  -- {@link #getTzaisGeonim7Point083Degrees() 7.083&deg;} -- #getTzaisGeonim7Point083Degrees() -- 7.083 -- &deg; -- . -- @return the <code>Date</code> of the <em>bain hashmashos</em> of Rabbeinu Tam in this calculation. If the         calculation can't be computed such as northern and southern locations even south of the Arctic Circle and         north of the Antarctic Circle where the sun may not reach low enough below the horizon for this         calculation, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation. -- the  -- <code> -- Date -- </code> --  of the  -- <em> -- bain hashmashos -- </em> --  of Rabbeinu Tam in this calculation. If the         calculation can't be computed such as northern and southern locations even south of the Arctic Circle and         north of the Antarctic Circle where the sun may not reach low enough below the horizon for this         calculation, a null will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --          documentation. -- @see #getTzaisGeonim7Point083Degrees() -- #getTzaisGeonim7Point083Degrees() -- "
yes,BainHasmashosRT2Stars,getBainHasmashosRT2Stars(),,"This method returns the beginning of <em>bain hashmashos</em> of Rabbeinu Tam calculated according to the opinion of the <em>Divrei Yosef</em> (see Yisrael Vehazmanim) calculated 5/18th (27.77%) of the time between <em>alos</em> (calculated as 19.8&deg; before sunrise) and sunrise. This is added to sunset to arrive at the time for <em>bain hashmashos</em> of Rabbeinu Tam.@return the <code>Date</code> of <em>bain hashmashos</em> of Rabbeinu Tam for this calculation. If the         calculation can't be computed such as northern and southern locations even south of the Arctic Circle and         north of the Antarctic Circle where the sun may not reach low enough below the horizon for this         calculation, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation. -- This method returns the beginning of  -- <em> -- bain hashmashos -- </em> --  of Rabbeinu Tam calculated according to the opinion of the  -- <em> -- Divrei Yosef -- </em> --  (see Yisrael Vehazmanim) calculated 5/18th (27.77%) of the time between  -- <em> -- alos -- </em> --  (calculated as 19.8 -- &deg; --  before sunrise) and sunrise. -- This is added to sunset to arrive at the time for  -- <em> -- bain hashmashos -- </em> --  of Rabbeinu Tam. -- @return the <code>Date</code> of <em>bain hashmashos</em> of Rabbeinu Tam for this calculation. If the         calculation can't be computed such as northern and southern locations even south of the Arctic Circle and         north of the Antarctic Circle where the sun may not reach low enough below the horizon for this         calculation, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation. -- the  -- <code> -- Date -- </code> --  of  -- <em> -- bain hashmashos -- </em> --  of Rabbeinu Tam for this calculation. If the         calculation can't be computed such as northern and southern locations even south of the Arctic Circle and         north of the Antarctic Circle where the sun may not reach low enough below the horizon for this         calculation, a null will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --          documentation. -- "
yes,BainHasmashosYereim18Minutes,getBainHasmashosYereim18Minutes(),,"This method returns the beginning of <em>bain hashmashos</em> (twilight) according to the <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"">Yereim (Rabbi Eliezer of Metz)</a> calculated as 18 minutes or 3/4 of a 24 minute <em>Mil</em> before sunset. According to the Yereim, <em>bain hashmashos</em> starts 3/4 of a <em>Mil</em> before sunset and <em>tzais</em> or nightfall starts at sunset.@return the <code>Date</code> of 18 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation.@see #getBainHasmashosYereim3Point05Degrees() -- This method returns the beginning of  -- <em> -- bain hashmashos -- </em> --  (twilight) according to the  -- <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel""> -- href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"" -- https://en.wikipedia.org/wiki/Eliezer_ben_Samuel -- Yereim (Rabbi Eliezer of Metz) -- </a> --  calculated as 18 minutes or 3/4 of a 24 minute  -- <em> -- Mil -- </em> --  before sunset. -- According to the Yereim,  -- <em> -- bain hashmashos -- </em> --  starts 3/4 of a  -- <em> -- Mil -- </em> --  before sunset and  -- <em> -- tzais -- </em> --  or nightfall starts at sunset. -- @return the <code>Date</code> of 18 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation. -- the  -- <code> -- Date -- </code> --  of 18 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --          documentation. -- @see #getBainHasmashosYereim3Point05Degrees() -- #getBainHasmashosYereim3Point05Degrees() -- "
yes,BainHasmashosYereim3Point05Degrees,getBainHasmashosYereim3Point05Degrees(),,"This method returns the beginning of <em>bain hashmashos</em> (twilight) according to the <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"">Yereim (Rabbi Eliezer of Metz)</a> calculated as the sun's position 3.05&deg; above the horizon <a href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/"">around the equinox / equilux</a>, its position 18 minutes or 3/4 of an 24 minute <em>mil</em> before sunset. According to the Yereim, <em>bain hashmashos</em> starts 3/4 of a <em>Mil</em> before sunset and <em>tzais</em> or nightfall starts at sunset. Note that <em>lechumra</em> (of about 14 seconds) a refraction value of 0.5166&deg; as opposed to the traditional 0.566&deg; is used. This is more inline with the actual refraction in <em>Eretz Yisrael</em> and is brought down by <a href=""http://beinenu.com/rabbis/%D7%94%D7%A8%D7%91-%D7%99%D7%93%D7%99%D7%93%D7%99%D7%94-%D7%9E%D7%A0%D7%AA"">Rabbi Yedidya Manet</a> in his <a href=""https://www.nli.org.il/en/books/NNL_ALEPH002542826/NLI"">Zmanei Halacha Lemaâ\u20ac\u2122aseh</a> (p. 11). That is the first source that I am aware of that calculates degree-based Yereim <em>zmanim</em>. The 0.5166&deg; refraction is also used by the <a href=""https://zmanim.online/"">Luach Itim Lebinah</a>. Calculating the Yereim's <em>bain hashmashos</em> using 18 minute based degrees is also suggested in the upcoming 8th edition of the zmanim Kehilchasam. For more details, see the article <a href=""https://kosherjava.com/2020/12/07/the-yereims-bein-hashmashos/"">The Yereimâ\u20ac\u2122s <em>Bein Hashmashos</em></a>.@todo recalculate based on equinox/equilux@return the <code>Date</code> of the sun's position 3.05&deg; minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation.@see #ZENITH_MINUS_3_POINT_05@see #getBainHasmashosYereim18Minutes()@see #getBainHasmashosYereim2Point8Degrees()@see #getBainHasmashosYereim2Point1Degrees() -- This method returns the beginning of  -- <em> -- bain hashmashos -- </em> --  (twilight) according to the  -- <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel""> -- href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"" -- https://en.wikipedia.org/wiki/Eliezer_ben_Samuel -- Yereim (Rabbi Eliezer of Metz) -- </a> --  calculated as the sun's position 3.05 -- &deg; --  above the horizon  -- <a href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/""> -- href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/"" -- https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/ -- around the equinox / equilux -- </a> -- , its position 18 minutes or 3/4 of an 24 minute  -- <em> -- mil -- </em> --  before sunset. -- According to the Yereim,  -- <em> -- bain hashmashos -- </em> --  starts 3/4 of a  -- <em> -- Mil -- </em> --  before sunset and  -- <em> -- tzais -- </em> --  or nightfall starts at sunset. Note that  -- <em> -- lechumra -- </em> --  (of about 14 seconds) a refraction value of 0.5166 -- &deg; --  as opposed to the traditional 0.566 -- &deg; --  is used. This is more inline with the actual refraction in  -- <em> -- Eretz Yisrael -- </em> --  and is brought down by  -- <a href=""http://beinenu.com/rabbis/%D7%94%D7%A8%D7%91-%D7%99%D7%93%D7%99%D7%93%D7%99%D7%94-%D7%9E%D7%A0%D7%AA""> -- href=""http://beinenu.com/rabbis/%D7%94%D7%A8%D7%91-%D7%99%D7%93%D7%99%D7%93%D7%99%D7%94-%D7%9E%D7%A0%D7%AA"" -- http://beinenu.com/rabbis/%D7%94%D7%A8%D7%91-%D7%99%D7%93%D7%99%D7%93%D7%99%D7%94-%D7%9E%D7%A0%D7%AA -- Rabbi Yedidya Manet -- </a> --  in his  -- <a href=""https://www.nli.org.il/en/books/NNL_ALEPH002542826/NLI""> -- href=""https://www.nli.org.il/en/books/NNL_ALEPH002542826/NLI"" -- https://www.nli.org.il/en/books/NNL_ALEPH002542826/NLI -- Zmanei Halacha Lemaâ\u20ac\u2122aseh -- </a> --  (p. 11). That is the first source that I am aware of that calculates degree-based Yereim  -- <em> -- zmanim -- </em> -- . The 0.5166 -- &deg; --  refraction is also used by the  -- <a href=""https://zmanim.online/""> -- href=""https://zmanim.online/"" -- https://zmanim.online/ -- Luach Itim Lebinah -- </a> -- . Calculating the Yereim's  -- <em> -- bain hashmashos -- </em> --  using 18 minute based degrees is also suggested in the upcoming 8th edition of the zmanim Kehilchasam. For more details, see the article  -- <a href=""https://kosherjava.com/2020/12/07/the-yereims-bein-hashmashos/""> -- href=""https://kosherjava.com/2020/12/07/the-yereims-bein-hashmashos/"" -- https://kosherjava.com/2020/12/07/the-yereims-bein-hashmashos/ -- The Yereimâ\u20ac\u2122s  -- <em> -- Bein Hashmashos -- </em> -- </a> -- . -- @todo recalculate based on equinox/equilux -- recalculate based on equinox/equilux -- @return the <code>Date</code> of the sun's position 3.05&deg; minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- Date -- </code> --  of the sun's position 3.05 -- &deg; --  minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #ZENITH_MINUS_3_POINT_05 -- #ZENITH_MINUS_3_POINT_05 -- @see #getBainHasmashosYereim18Minutes() -- #getBainHasmashosYereim18Minutes() -- @see #getBainHasmashosYereim2Point8Degrees() -- #getBainHasmashosYereim2Point8Degrees() -- @see #getBainHasmashosYereim2Point1Degrees() -- #getBainHasmashosYereim2Point1Degrees() -- "
yes,BainHasmashosYereim16Point875Minutes,getBainHasmashosYereim16Point875Minutes(),,"This method returns the beginning of <em>bain hashmashos</em> (twilight) according to the <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"">Yereim (Rabbi Eliezer of Metz)</a> calculated as 16.875 minutes or 3/4 of a 22.5 minute <em>Mil</em> before sunset. According to the Yereim, <em>bain hashmashos</em> starts 3/4 of a <em>Mil</em> before sunset and <em>tzais</em> or nightfall starts at sunset.@return the <code>Date</code> of 16.875 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation.@see #getBainHasmashosYereim2Point8Degrees() -- This method returns the beginning of  -- <em> -- bain hashmashos -- </em> --  (twilight) according to the  -- <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel""> -- href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"" -- https://en.wikipedia.org/wiki/Eliezer_ben_Samuel -- Yereim (Rabbi Eliezer of Metz) -- </a> --  calculated as 16.875 minutes or 3/4 of a 22.5 minute  -- <em> -- Mil -- </em> --  before sunset. -- According to the Yereim,  -- <em> -- bain hashmashos -- </em> --  starts 3/4 of a  -- <em> -- Mil -- </em> --  before sunset and  -- <em> -- tzais -- </em> --  or nightfall starts at sunset. -- @return the <code>Date</code> of 16.875 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation. -- the  -- <code> -- Date -- </code> --  of 16.875 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --          documentation. -- @see #getBainHasmashosYereim2Point8Degrees() -- #getBainHasmashosYereim2Point8Degrees() -- "
yes,BainHasmashosYereim2Point8Degrees,getBainHasmashosYereim2Point8Degrees(),,"This method returns the beginning of <em>bain hashmashos</em> (twilight) according to the <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"">Yereim (Rabbi Eliezer of Metz)</a> calculated as the sun's position 2.8&deg; above the horizon <a href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/"">around the equinox / equilux</a>, its position 16.875 minutes or 3/4 of an 18 minute <em>Mil</em> before sunset. According to the Yereim, <em>bain hashmashos</em> starts 3/4 of a <em>Mil</em> before sunset and <em>tzais</em> or nightfall starts at sunset. Details, including how the degrees were calculated can be seen in the documentation of {@link #getBainHasmashosYereim3Point05Degrees()}.@return the <code>Date</code> of the sun's position 2.8&deg; minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation.@see #ZENITH_MINUS_2_POINT_8@see #getBainHasmashosYereim16Point875Minutes()@see #getBainHasmashosYereim3Point05Degrees()@see #getBainHasmashosYereim2Point1Degrees() -- This method returns the beginning of  -- <em> -- bain hashmashos -- </em> --  (twilight) according to the  -- <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel""> -- href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"" -- https://en.wikipedia.org/wiki/Eliezer_ben_Samuel -- Yereim (Rabbi Eliezer of Metz) -- </a> --  calculated as the sun's position 2.8 -- &deg; --  above the horizon  -- <a href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/""> -- href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/"" -- https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/ -- around the equinox / equilux -- </a> -- , its position 16.875 minutes or 3/4 of an 18 minute  -- <em> -- Mil -- </em> --  before sunset. -- According to the Yereim,  -- <em> -- bain hashmashos -- </em> --  starts 3/4 of a  -- <em> -- Mil -- </em> --  before sunset and  -- <em> -- tzais -- </em> --  or nightfall starts at sunset. Details, including how the degrees were calculated can be seen in the documentation of  -- {@link #getBainHasmashosYereim3Point05Degrees()} -- #getBainHasmashosYereim3Point05Degrees() -- . -- @return the <code>Date</code> of the sun's position 2.8&deg; minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- Date -- </code> --  of the sun's position 2.8 -- &deg; --  minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #ZENITH_MINUS_2_POINT_8 -- #ZENITH_MINUS_2_POINT_8 -- @see #getBainHasmashosYereim16Point875Minutes() -- #getBainHasmashosYereim16Point875Minutes() -- @see #getBainHasmashosYereim3Point05Degrees() -- #getBainHasmashosYereim3Point05Degrees() -- @see #getBainHasmashosYereim2Point1Degrees() -- #getBainHasmashosYereim2Point1Degrees() -- "
yes,BainHasmashosYereim13Point5Minutes,getBainHasmashosYereim13Point5Minutes(),,"This method returns the beginning of <em>bain hashmashos</em> (twilight) according to the <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"">Yereim (Rabbi Eliezer of Metz)</a> calculated as 13.5 minutes or 3/4 of an 18 minute <em>Mil</em> before sunset. According to the Yereim, <em>bain hashmashos</em> starts 3/4 of a <em>Mil</em> before sunset and <em>tzais</em> or nightfall starts at sunset.@return the <code>Date</code> of 13.5 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation.@see #getBainHasmashosYereim2Point1Degrees() -- This method returns the beginning of  -- <em> -- bain hashmashos -- </em> --  (twilight) according to the  -- <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel""> -- href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"" -- https://en.wikipedia.org/wiki/Eliezer_ben_Samuel -- Yereim (Rabbi Eliezer of Metz) -- </a> --  calculated as 13.5 minutes or 3/4 of an 18 minute  -- <em> -- Mil -- </em> --  before sunset. -- According to the Yereim,  -- <em> -- bain hashmashos -- </em> --  starts 3/4 of a  -- <em> -- Mil -- </em> --  before sunset and  -- <em> -- tzais -- </em> --  or nightfall starts at sunset. -- @return the <code>Date</code> of 13.5 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar}         documentation. -- the  -- <code> -- Date -- </code> --  of 13.5 minutes before sunset. If the calculation can't be computed such as in the         Arctic Circle where there is at least one day a year where the sun does not rise, and one where it does         not set, a null will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --          documentation. -- @see #getBainHasmashosYereim2Point1Degrees() -- #getBainHasmashosYereim2Point1Degrees() -- "
yes,BainHasmashosYereim2Point1Degrees,getBainHasmashosYereim2Point1Degrees(),,"This method returns the beginning of <em>bain hashmashos</em> according to the <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"">Yereim (Rabbi Eliezer of Metz)</a> calculated as the sun's position 2.1&deg; above the horizon <a href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/"">around the equinox / equilux</a> in Yerushalayim, its position 13.5 minutes or 3/4 of an 18 minute <em>Mil</em> before sunset. According to the Yereim, <em>bain hashmashos</em> starts 3/4 of a <em>mil</em> before sunset and <em>tzais</em> or nightfall starts at sunset. Details, including how the degrees were calculated can be seen in the documentation of {@link #getBainHasmashosYereim3Point05Degrees()}.@return the <code>Date</code> of the sun's position 2.1&deg; minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation.@see #ZENITH_MINUS_2_POINT_1@see #getBainHasmashosYereim13Point5Minutes()@see #getBainHasmashosYereim2Point8Degrees()@see #getBainHasmashosYereim3Point05Degrees() -- This method returns the beginning of  -- <em> -- bain hashmashos -- </em> --  according to the  -- <a href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel""> -- href=""https://en.wikipedia.org/wiki/Eliezer_ben_Samuel"" -- https://en.wikipedia.org/wiki/Eliezer_ben_Samuel -- Yereim (Rabbi Eliezer of Metz) -- </a> --  calculated as the sun's position 2.1 -- &deg; --  above the horizon  -- <a href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/""> -- href=""https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/"" -- https://kosherjava.com/2022/01/12/equinox-vs-equilux-zmanim-calculations/ -- around the equinox / equilux -- </a> --  in Yerushalayim, its position 13.5 minutes or 3/4 of an 18 minute  -- <em> -- Mil -- </em> --  before sunset. -- According to the Yereim,  -- <em> -- bain hashmashos -- </em> --  starts 3/4 of a  -- <em> -- mil -- </em> --  before sunset and  -- <em> -- tzais -- </em> --  or nightfall starts at sunset. Details, including how the degrees were calculated can be seen in the documentation of  -- {@link #getBainHasmashosYereim3Point05Degrees()} -- #getBainHasmashosYereim3Point05Degrees() -- . -- @return the <code>Date</code> of the sun's position 2.1&deg; minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the         {@link AstronomicalCalendar} documentation. -- the  -- <code> -- Date -- </code> --  of the sun's position 2.1 -- &deg; --  minutes before sunset. If the calculation can't         be computed such as in the Arctic Circle where there is at least one day a year where the sun does not         rise, and one where it does not set, a null will be returned. See detailed explanation on top of the          -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #ZENITH_MINUS_2_POINT_1 -- #ZENITH_MINUS_2_POINT_1 -- @see #getBainHasmashosYereim13Point5Minutes() -- #getBainHasmashosYereim13Point5Minutes() -- @see #getBainHasmashosYereim2Point8Degrees() -- #getBainHasmashosYereim2Point8Degrees() -- @see #getBainHasmashosYereim3Point05Degrees() -- #getBainHasmashosYereim3Point05Degrees() -- "
yes,TzaisGeonim3Point7Degrees,getTzaisGeonim3Point7Degrees(),,This method returns the <em>tzais</em> (nightfall) based on the opinion of the <em>Geonim</em> calculated at the sun's position at {@link #ZENITH_3_POINT_7 3.7&deg;} below the western horizon.@return the <code>Date</code> representing the time when the sun is 3.7&deg; below sea level.@see #ZENITH_3_POINT_7 -- This method returns the  -- <em> -- tzais -- </em> --  (nightfall) based on the opinion of the  -- <em> -- Geonim -- </em> --  calculated at the sun's position at  -- {@link #ZENITH_3_POINT_7 3.7&deg;} -- #ZENITH_3_POINT_7 -- 3.7 -- &deg; --  below the western horizon. -- @return the <code>Date</code> representing the time when the sun is 3.7&deg; below sea level. -- the  -- <code> -- Date -- </code> --  representing the time when the sun is 3.7 -- &deg; --  below sea level. -- @see #ZENITH_3_POINT_7 -- #ZENITH_3_POINT_7 -- 
yes,TzaisGeonim3Point8Degrees,getTzaisGeonim3Point8Degrees(),,This method returns the <em>tzais</em> (nightfall) based on the opinion of the <em>Geonim</em> calculated at the sun's position at {@link #ZENITH_3_POINT_8 3.8&deg;} below the western horizon.@return the <code>Date</code> representing the time when the sun is 3.8&deg; below sea level.@see #ZENITH_3_POINT_8 -- This method returns the  -- <em> -- tzais -- </em> --  (nightfall) based on the opinion of the  -- <em> -- Geonim -- </em> --  calculated at the sun's position at  -- {@link #ZENITH_3_POINT_8 3.8&deg;} -- #ZENITH_3_POINT_8 -- 3.8 -- &deg; --  below the western horizon. -- @return the <code>Date</code> representing the time when the sun is 3.8&deg; below sea level. -- the  -- <code> -- Date -- </code> --  representing the time when the sun is 3.8 -- &deg; --  below sea level. -- @see #ZENITH_3_POINT_8 -- #ZENITH_3_POINT_8 -- 
yes,TzaisGeonim5Point95Degrees,getTzaisGeonim5Point95Degrees(),,"This method returns the <em>tzais</em> (nightfall) based on the opinion of the <em>Geonim</em> calculated at the sun's position at {@link #ZENITH_5_POINT_95 5.95&deg;} below the western horizon.@return the <code>Date</code> representing the time when the sun is 5.95&deg; below sea level. If the calculation         can't be computed such as northern and southern locations even south of the Arctic Circle and north of         the Antarctic Circle where the sun may not reach low enough below the horizon for this calculation, a         null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation.@see #ZENITH_5_POINT_95 -- This method returns the  -- <em> -- tzais -- </em> --  (nightfall) based on the opinion of the  -- <em> -- Geonim -- </em> --  calculated at the sun's position at  -- {@link #ZENITH_5_POINT_95 5.95&deg;} -- #ZENITH_5_POINT_95 -- 5.95 -- &deg; --  below the western horizon. -- @return the <code>Date</code> representing the time when the sun is 5.95&deg; below sea level. If the calculation         can't be computed such as northern and southern locations even south of the Arctic Circle and north of         the Antarctic Circle where the sun may not reach low enough below the horizon for this calculation, a         null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation. -- the  -- <code> -- Date -- </code> --  representing the time when the sun is 5.95 -- &deg; --  below sea level. If the calculation         can't be computed such as northern and southern locations even south of the Arctic Circle and north of         the Antarctic Circle where the sun may not reach low enough below the horizon for this calculation, a         null will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #ZENITH_5_POINT_95 -- #ZENITH_5_POINT_95 -- "
yes,TzaisGeonim3Point65Degrees,getTzaisGeonim3Point65Degrees(),,"This method returns the <em>tzais</em> (nightfall) based on the opinion of the <em>Geonim</em> calculated as 3/4 of a <a href=""https://en.wikipedia.org/wiki/Biblical_and_Talmudic_units_of_measurement"">Mil</a> based on an 18 minute Mil, or 13.5 minutes. It is the sun's position at {@link #ZENITH_3_POINT_65 3.65&deg;} below the western horizon. This is a very early <em>zman</em> and should not be relied on without Rabbinical guidance.@return the <code>Date</code> representing the time when the sun is 3.65&deg; below sea level. If the calculation         can't be computed such as northern and southern locations even south of the Arctic Circle and north of         the Antarctic Circle where the sun may not reach low enough below the horizon for this calculation, a         null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation.@see #ZENITH_3_POINT_65 -- This method returns the  -- <em> -- tzais -- </em> --  (nightfall) based on the opinion of the  -- <em> -- Geonim -- </em> --  calculated as 3/4 of a  -- <a href=""https://en.wikipedia.org/wiki/Biblical_and_Talmudic_units_of_measurement""> -- href=""https://en.wikipedia.org/wiki/Biblical_and_Talmudic_units_of_measurement"" -- https://en.wikipedia.org/wiki/Biblical_and_Talmudic_units_of_measurement -- Mil -- </a> --  based on an 18 minute Mil, or 13.5 minutes. -- It is the sun's position at  -- {@link #ZENITH_3_POINT_65 3.65&deg;} -- #ZENITH_3_POINT_65 -- 3.65 -- &deg; --  below the western horizon. This is a very early  -- <em> -- zman -- </em> --  and should not be relied on without Rabbinical guidance. -- @return the <code>Date</code> representing the time when the sun is 3.65&deg; below sea level. If the calculation         can't be computed such as northern and southern locations even south of the Arctic Circle and north of         the Antarctic Circle where the sun may not reach low enough below the horizon for this calculation, a         null will be returned. See detailed explanation on top of the {@link AstronomicalCalendar} documentation. -- the  -- <code> -- Date -- </code> --  representing the time when the sun is 3.65 -- &deg; --  below sea level. If the calculation         can't be computed such as northern and southern locations even south of the Arctic Circle and north of         the Antarctic Circle where the sun may not reach low enough below the horizon for this calculation, a         null will be returned. See detailed explanation on top of the  -- {@link AstronomicalCalendar} -- AstronomicalCalendar --  documentation. -- @see #ZENITH_3_POINT_65 -- #ZENITH_3_POINT_65 -- "
